Date,Value
5/31/2023,27219.66
5/30/2023,27702.35
5/29/2023,27745.88
5/28/2023,28085.65
5/27/2023,26868.35
5/26/2023,26719.29
5/25/2023,26476.21
5/24/2023,26334.82
5/23/2023,27225.73
5/22/2023,26851.28
5/21/2023,26753.83
5/20/2023,27129.59
5/19/2023,26890.13
5/18/2023,26832.21
5/17/2023,27398.80
5/16/2023,27036.65
5/15/2023,27192.69
5/14/2023,26930.64
5/13/2023,26784.08
5/12/2023,26804.99
5/11/2023,27000.79
5/10/2023,27621.76
5/9/2023,27658.78
5/8/2023,27694.27
5/7/2023,28454.98
5/6/2023,28904.62
5/5/2023,29534.38
5/4/2023,28847.71
5/3/2023,29006.31
5/2/2023,28680.54
5/1/2023,28091.57
4/30/2023,29268.81
4/29/2023,29248.49
4/28/2023,29340.26
4/27/2023,29473.79
4/26/2023,28422.70
4/25/2023,28307.60
4/24/2023,27525.34
4/23/2023,27591.38
4/22/2023,27817.50
4/21/2023,27276.91
4/20/2023,28245.99
4/19/2023,28822.68
4/18/2023,30397.55
4/17/2023,29445.04
4/16/2023,30315.36
4/15/2023,30318.50
4/14/2023,30485.70
4/13/2023,30399.07
4/12/2023,30139.05
4/11/2023,30235.06
4/10/2023,29652.98
4/9/2023,28333.05
4/8/2023,27947.79
4/7/2023,27925.86
4/6/2023,28044.14
4/5/2023,28177.98
4/4/2023,28168.09
4/3/2023,27790.22
4/2/2023,28199.31
4/1/2023,28411.04
3/31/2023,28478.48
3/30/2023,28033.56
3/29/2023,28348.44
3/28/2023,27268.13
3/27/2023,27139.89
3/26/2023,27994.33
3/25/2023,27494.71
3/24/2023,27493.29
3/23/2023,28333.97
3/22/2023,27307.44
3/21/2023,28175.82
3/20/2023,27767.24
3/19/2023,28038.68
3/18/2023,26965.88
3/17/2023,27423.93
3/16/2023,25052.79
3/15/2023,24375.96
3/14/2023,24746.07
3/13/2023,24197.53
3/12/2023,22163.95
3/11/2023,20632.41
3/10/2023,20187.24
3/9/2023,20363.02
3/8/2023,21718.08
3/7/2023,22219.77
3/6/2023,22429.76
3/5/2023,22435.51
3/4/2023,22353.35
3/3/2023,22362.68
3/2/2023,23475.47
3/1/2023,23646.55
2/28/2023,23147.35
2/27/2023,23522.87
2/26/2023,23561.21
2/25/2023,23175.38
2/24/2023,23198.13
2/23/2023,23947.49
2/22/2023,24188.84
2/21/2023,24436.35
2/20/2023,24829.15
2/19/2023,24327.64
2/18/2023,24641.28
2/17/2023,24565.60
2/16/2023,23623.47
2/15/2023,24307.84
2/14/2023,22220.80
2/13/2023,21808.10
2/12/2023,21788.20
2/11/2023,21870.88
2/10/2023,21651.18
2/9/2023,21819.04
2/8/2023,22939.40
2/7/2023,23264.29
2/6/2023,22760.11
2/5/2023,22955.67
2/4/2023,23331.85
2/3/2023,23449.32
2/2/2023,23471.87
2/1/2023,23723.77
1/31/2023,23139.28
1/30/2023,22840.14
1/29/2023,23774.57
1/28/2023,23031.09
1/27/2023,23078.73
1/26/2023,23032.78
1/25/2023,23117.86
1/24/2023,22636.47
1/23/2023,22934.43
1/22/2023,22720.42
1/21/2023,22777.63
1/20/2023,22676.55
1/19/2023,21086.79
1/18/2023,20688.78
1/17/2023,21161.52
1/16/2023,21169.63
1/15/2023,20880.80
1/14/2023,20976.30
1/13/2023,19909.57
1/12/2023,18869.59
1/11/2023,17934.90
1/10/2023,17446.29
1/9/2023,17196.55
1/8/2023,17091.14
1/7/2023,16955.08
1/6/2023,16951.97
1/5/2023,16836.74
1/4/2023,16863.24
1/3/2023,16679.86
1/2/2023,16688.47
1/1/2023,16625.08
12/31/2022,16547.50
12/30/2022,16602.59
12/29/2022,16642.34
12/28/2022,16552.57
12/27/2022,16717.17
12/26/2022,16919.80
12/25/2022,16841.99
12/24/2022,16847.76
12/23/2022,16796.95
12/22/2022,16830.34
12/21/2022,16817.54
12/20/2022,16906.30
12/19/2022,16439.68
12/18/2022,16757.98
12/17/2022,16795.09
12/16/2022,16647.48
12/15/2022,17364.87
12/14/2022,17815.65
12/13/2022,17781.32
12/12/2022,17206.44
12/11/2022,17104.19
12/10/2022,17128.72
12/9/2022,17133.15
12/8/2022,17233.47
12/7/2022,16848.13
12/6/2022,17089.50
12/5/2022,16974.83
12/4/2022,17130.49
12/3/2022,16908.24
