Date,Value
5/31/2023,0.0374
5/30/2023,0.0383
5/29/2023,null
5/28/2023,null
5/26/2023,0.0394
5/25/2023,0.0390
5/24/2023,0.0378
5/23/2023,0.0375
5/22/2023,0.0377
5/21/2023,null
5/19/2023,0.0375
5/18/2023,0.0370
5/17/2023,0.0359
5/16/2023,0.0352
5/15/2023,0.0347
5/14/2023,null
5/12/2023,0.0345
5/11/2023,0.0336
5/10/2023,0.0337
5/9/2023,0.0350
5/8/2023,0.0350
5/7/2023,null
5/5/2023,0.0342
5/4/2023,0.0328
5/3/2023,0.0341
5/2/2023,0.0347
5/1/2023,0.0363
4/30/2023,null
4/28/2023,0.0354
4/27/2023,0.0360
4/26/2023,0.0348
4/25/2023,0.0344
4/24/2023,0.0361
4/23/2023,null
4/21/2023,0.0366
4/20/2023,0.0364
4/19/2023,0.0372
4/18/2023,0.0368
4/17/2023,0.0369
4/16/2023,null
4/14/2023,0.0361
4/13/2023,0.0351
4/12/2023,0.0348
4/11/2023,0.0355
4/10/2023,0.0352
4/9/2023,null
4/6/2023,0.0336
4/5/2023,0.0334
4/4/2023,0.0339
4/3/2023,0.0353
4/2/2023,null
3/31/2023,0.0361
3/30/2023,0.0366
3/29/2023,0.0368
3/28/2023,0.0366
3/27/2023,0.0360
3/26/2023,null
3/24/2023,0.0341
3/23/2023,0.0342
3/22/2023,0.0357
3/21/2023,0.0375
3/20/2023,0.0358
3/19/2023,null
3/17/2023,0.0347
3/16/2023,0.0374
3/15/2023,0.0358
3/14/2023,0.0380
3/13/2023,0.0367
3/12/2023,null
3/10/2023,0.0395
3/9/2023,0.0422
3/8/2023,0.0434
3/7/2023,0.0432
3/6/2023,0.0427
3/5/2023,null
3/3/2023,0.0425
3/2/2023,0.0433
3/1/2023,0.0426
2/28/2023,0.0417
2/27/2023,0.0417
2/26/2023,null
2/24/2023,0.0421
2/23/2023,0.0411
2/22/2023,0.0415
2/21/2023,0.0418
2/19/2023,null
2/17/2023,0.0404
2/16/2023,0.0405
2/15/2023,0.0404
2/14/2023,0.0400
2/13/2023,0.0393
2/12/2023,null
2/10/2023,0.0392
2/9/2023,0.0388
2/8/2023,0.0382
2/7/2023,0.0384
