Date,Value
5/31/2023,1962.30
5/30/2023,1959.14
5/29/2023,1942.84
5/26/2023,1946.33
5/25/2023,1940.34
5/24/2023,1957.01
5/23/2023,1974.73
5/22/2023,1969.43
5/19/2023,1976.56
5/18/2023,1958.05
5/17/2023,1981.72
5/16/2023,1988.60
5/15/2023,2018.41
5/12/2023,2011.15
5/11/2023,2015.55
5/10/2023,2029.51
5/9/2023,2034.17
5/8/2023,2021.39
5/5/2023,2016.54
5/4/2023,2051.11
5/3/2023,2051.11
5/2/2023,2016.28
5/1/2023,1982.05
4/28/2023,1989.65
4/27/2023,1987.87
4/26/2023,1989.48
4/25/2023,1997.87
4/24/2023,1988.88
4/21/2023,1982.89
4/20/2023,2004.34
4/19/2023,1993.26
4/18/2023,2004.93
4/17/2023,1994.77
4/14/2023,2003.04
4/13/2023,2039.73
4/12/2023,2014.67
4/11/2023,2003.14
4/10/2023,1989.65
4/6/2023,2008.02
4/5/2023,2020.35
4/4/2023,2019.97
4/3/2023,1984.11
3/31/2023,1967.90
3/30/2023,1980.25
3/29/2023,1964.04
3/28/2023,1973.69
3/27/2023,1956.56
3/24/2023,1977.22
3/23/2023,1993.50
3/22/2023,1969.58
3/21/2023,1940.15
3/20/2023,1978.71
3/17/2023,1987.93
3/16/2023,1919.12
3/15/2023,1918.10
3/14/2023,1902.12
3/13/2023,1913.23
3/10/2023,1867.83
3/9/2023,1830.89
3/8/2023,1813.59
3/7/2023,1813.52
3/6/2023,1846.85
3/3/2023,1854.97
3/2/2023,1836.00
3/1/2023,1836.81
2/28/2023,1827.15
2/27/2023,1817.31
2/24/2023,1810.81
2/23/2023,1822.64
2/22/2023,1825.04
2/21/2023,1834.32
2/20/2023,1841.14
2/17/2023,1841.59
2/16/2023,1837.44
2/15/2023,1836.19
2/14/2023,1854.29
2/13/2023,1853.39
2/10/2023,1864.67
2/9/2023,1861.39
2/8/2023,1875.59
2/7/2023,1873.81
2/6/2023,1867.36
2/3/2023,1865.53
2/2/2023,1912.37
2/1/2023,1950.42
1/31/2023,1927.88
1/30/2023,1922.52
1/27/2023,1927.34
1/26/2023,1928.99
1/25/2023,1945.93
1/24/2023,1937.45
1/23/2023,1931.30
1/20/2023,1926.57
1/19/2023,1931.39
1/18/2023,1903.76
1/17/2023,1908.39
1/16/2023,1918.00
1/13/2023,1920.21
1/12/2023,1896.86
1/11/2023,1876.38
1/10/2023,1877.27
1/9/2023,1871.59
1/6/2023,1865.71
1/5/2023,1833.19
1/4/2023,1854.09
1/3/2023,1839.49
1/2/2023,1823.69
12/30/2022,1824.40
12/29/2022,1814.89
12/28/2022,1804.09
12/27/2022,1813.93
12/26/2022,1797.61
12/23/2022,1797.91
12/22/2022,1792.57
12/21/2022,1814.13
12/20/2022,1817.41
12/19/2022,1787.44
12/16/2022,1792.34
12/15/2022,1776.66
12/14/2022,1807.27
12/13/2022,1810.29
12/12/2022,1781.15
12/9/2022,1796.63
12/8/2022,1789.23
12/7/2022,1786.22
12/6/2022,1770.91
12/5/2022,1768.39
12/2/2022,1797.82
12/1/2022,1802.89
11/30/2022,1768.45
11/29/2022,1749.73
11/28/2022,1740.75
11/25/2022,1756.14
11/24/2022,1754.96
11/23/2022,1749.28
11/22/2022,1740.24
11/21/2022,1737.81
11/18/2022,1749.74
11/17/2022,1760.87
11/16/2022,1773.77
11/15/2022,1778.25
11/14/2022,1771.80
11/11/2022,1770.69
11/10/2022,1754.86
11/9/2022,1706.32
11/8/2022,1712.52
11/7/2022,1674.68
11/4/2022,1680.27
11/3/2022,1629.15
11/2/2022,1634.89
11/1/2022,1647.50
10/31/2022,1633.12
10/28/2022,1641.76
10/27/2022,1662.94
10/26/2022,1664.49
10/25/2022,1652.52
10/24/2022,1648.60
10/21/2022,1656.66
10/20/2022,1627.66
10/19/2022,1628.49
10/18/2022,1651.83
10/17/2022,1649.94
10/14/2022,1641.76
10/13/2022,1665.80
10/12/2022,1672.51
10/11/2022,1665.31
10/10/2022,1667.96
10/7/2022,1694.52
10/6/2022,1710.85
10/5/2022,1715.81
10/4/2022,1726.24
10/3/2022,1699.22
9/30/2022,1659.67
9/29/2022,1660.29
9/28/2022,1659.44
9/27/2022,1628.80
9/26/2022,1621.57
9/23/2022,1643.09
9/22/2022,1670.53
9/21/2022,1673.74
9/20/2022,1663.11
9/19/2022,1675.78
9/16/2022,1674.94
9/15/2022,1663.74
9/14/2022,1695.80
9/13/2022,1701.55
9/12/2022,1724.07
9/9/2022,1716.05
9/8/2022,1707.28
9/7/2022,1717.69
9/6/2022,1701.15
9/5/2022,1710.21
9/2/2022,1711.44
9/1/2022,1696.09
8/31/2022,1710.70
8/30/2022,1723.55
